category_code,count,neural_share,count,base_share
ladies_dresses_mididresses,126412,0.10105724301400197,76696,0.033715387723002435
ladies_jacketscoats_jackets,75674,0.06049588494637839,68183,0.02997309222276879
ladies_jacketscoats_coats,62606,0.05004896494110217,26655,0.011717477570624673
ladies_cardigansjumpers_jumpers,55652,0.04448974534233489,120239,0.052856791806953296
ladies_dresses_shortdresses,53536,0.04279815651993173,26425,0.01161637009205616
ladies_shirtsblouses_blouses,52354,0.04185323308511106,54111,0.02378707292530751
ladies_shirtsblouses_shirts,50459,0.04033831776448063,155139,0.06819875268539265
ladies_sport_bottoms_trousers,44184,0.035321909512788845,1,4.3959773290657187e-7
ladies_jeans_slim,40132,0.03208262883775217,116870,0.05137578704479105
ladies_nightwear_loungewear,39738,0.03176765435947861,2,8.791954658131437e-7
ladies_cardigansjumpers_cardigans,33196,0.02653779893596185,132245,0.05813460218822959
ladies_tops_shortsleeve,32159,0.02570879250456673,160190,0.07041916083430375
ladies_swimwear_bikinisets_tops,30472,0.024360158126781224,null,null
ladies_trousers_chinosslacks,27837,0.02225366637487559,137048,0.06024599009937986
ladies_swimwear_swimsuits,27410,0.021912310785477597,27,0.00001186913878847744
ladies_basics_tops_shortsleeve,24893,0.019900151491532063,231972,0.10197436529780328
ladies_trousers_leggings,23794,0.019021580548327397,78459,0.03449039852611672
ladies_trousers_joggers,21698,0.017345980278120867,90417,0.03974710821621351
ladies_nightwear_pyjamas,21431,0.01713253310629589,76,0.00003340942770089946
ladies_jeans_loose,21284,0.01701501724765068,41102,0.018068346017925917
ladies_tops_croppedtops,21222,0.016965452735841137,160648,0.07062049659597495
ladies_tops_longsleeve,21172,0.01692548135534957,28234,0.01241160239088415
ladies_swimwear_bikinisets_bottoms,16149,0.012909956471166644,null,null
ladies_tops_vests,15354,0.012274411521350713,85847,0.03773814657683047
ladies_basics_trousersleggings,14900,0.011911471386487274,28446,0.012504797110260342
ladies_jeans_straight,14670,0.011727603036226062,5471,0.0024050391967318546
ladies_jacketscoats_biker,13344,0.010667562025589678,22869,0.010053160553840392
ladies_basics_tops_longsleeve,12946,0.010349389836876796,14200,0.00624228780727332
ladies_hoodiesswetshirts_sweatshirts,12826,0.010253458523697034,33273,0.014626735367000366
ladies_jacketscoats_denim,11763,0.009403666974446296,17,0.0000074731614594117215
ladies_basics_tops_vests,10833,0.00866019929730313,211303,0.09288831975635735
ladies_hoodiesswetshirts_hoodies,10681,0.008538686300608764,13530,0.0059477573262259175
ladies_dresses_maxidresses,10450,0.008354018522737719,55,0.000024177875309861453
ladies_sport_jackets,10140,0.008106195963689998,null,null
ladies_trousers,8795,0.007030965828466818,1375,0.0006044468827465363
ladies_shoes_sneakers,8315,0.006647240575747765,2,8.791954658131437e-7
ladies_jeans_shaping,7411,0.005924558016460214,4,0.0000017583909316262875
ladies_cardigansjumpers_hoodiessweatshirts,7021,0.005612781248625983,51081,0.022455091794600597
ladies_plus_bottoms,6376,0.0050971504402847565,null,null
ladies_plus_shirtsblouses,5811,0.0046454738407300375,null,null
ladies_sockstights_socks,5607,0.00448239060832444,null,null
ladies_maternity_bottoms,4724,0.003776496028843348,null,null
ladies_jeans_skinny_skinnyhigh,4674,0.00373652464835178,null,null
ladies_blazerswaistcoats_blazers,4609,0.003684561853712742,16749,0.007362822428452172
ladies_sport_tops,4376,0.0034982952206220348,null,null
ladies_trousers_slim,4238,0.003387974210465307,6572,0.0028890363006619903
ladies_jeans_skinny,4227,0.0033791805067571617,7573,0.0033290736313014687
ladies_jacketscoats_bomber,3800,0.003037824917359171,28,0.000012308736521384012
ladies_trousers_flare,3769,0.0030130426614543987,28273,0.012428746702467505
ladies_jacketscoats_parkas,3620,0.002893927947589526,7,0.000003077184130346003
ladies_tops_bodys,3542,0.0028315725940226797,572,0.0002514499032225591
ladies_knitwear_turtlenecks,3483,0.0027844063650426295,2456,0.0010796520320185406
ladies_plus_tops,3433,0.0027444349845510614,null,null
ladies_dresses_party,3422,0.0027356412808429167,89,0.0000391241982286849
ladies_jumpsuits_long,3396,0.002714856162987301,8,0.000003516781863252575
ladies_shorts,3137,0.002507804412040979,350,0.00015385920651730015
ladies_maternity_dresses,3105,0.002482222728526375,null,null
ladies_shoes_sandals_espandrillos,3101,0.00247902501808705,22062,0.009698405183384788
ladies_swimwear_bikinitops,3074,0.002457440472621603,null,null
ladies_shoes_pumps_highheels,3030,0.002422265657789023,584,0.00025672507601743797
ladies_basics_cardigansjumpers,3026,0.002419067947349698,6,0.000002637586397439431
ladies_dresses_bodycon,2989,0.002389489125785937,null,null
ladies_maternity_tops,2958,0.002364706869881165,null,null
ladies_jumpsuits,2875,0.002298354378265162,582,0.0002558458805516248
ladies_tops,2870,0.0022943572402160054,4607,0.0020252267555005764
ladies_skirts_midiskirts,2620,0.002094500337758165,null,null
ladies_maternity_jeans,2611,0.0020873054892696827,null,null
ladies_sport_sportbras,2552,0.0020401392602896326,null,null
ladies_sport_bottoms_shorts,2488,0.0019889758932604257,2,8.791954658131437e-7
ladies_accessories,2340,0.0018706606070053842,null,null
ladies_plus_jeans,2317,0.0018522737719792628,null,null
ladies_jeans_bootcut,2283,0.0018250932332449965,9714,0.004270252377454439
ladies_skirts_shortskirts,2258,0.0018051075429992125,536,0.00023562438483792252
ladies_sockstights_tightleggings,2223,0.001777127576655115,null,null
ladies_sport_tops_vest,2174,0.0017379556237733782,null,null
ladies_shoes_ankle_boots,1979,0.0015820672398562628,null,null
ladies_sport_tops_longsleeve,1910,0.001526906734777899,null,null
ladies_trousers_dressed,1733,0.0013854080478377482,null,null
ladies_maternity_nursing,1633,0.0013054652868546121,null,null
ladies_sport_tops_shortsleeve,1475,0.001179155724501257,null,null
ladies_shoes_ballerinas_flats,1401,0.0011199980813737364,null,null
ladies_dresses,1352,0.0010808261284919998,null,null
ladies_accessories_belts,1330,0.0010632387210757098,null,null
ladies_jeans,1261,0.0010080782159973458,125,0.000054949716613321484
ladies_accessories_sunglasses,1214,0.0009705051183352719,null,null
ladies_shorts_jeans,1083,0.0008657801014473637,null,null
ladies_shirtsblouses_tunics,1054,0.0008425967007622542,null,null
ladies_shoes_boots,1002,0.0008010264650510234,null,null
ladies_plus_jacketsblazers,985,0.0007874361956838903,null,null
ladies_jeans_skinny_skinnyregular,982,0.0007850379128543963,null,null
ladies_swimwear_beachwear,972,0.0007770436367560827,null,null
ladies_accessories_mobileaccessories,953,0.0007618545121692868,null,null
ladies_swimwear_bikinibottoms,875,0.0006994991586024407,null,null
ladies_basics_tops,862,0.000689106599674633,457,0.00020089616393830333
ladies_jumpsuits_short,852,0.0006811123235763194,null,null
ladies_maternity_swimwear,761,0.0006083644110816656,null,null
ladies_knitwear_jumpers,561,0.0004484788891153934,null,null
ladies_skirts_longskirts,558,0.0004460806062858993,null,null
ladies_plus_sport,491,0.00039251895642719814,null,null
ladies_accessories_sarongsponchos,431,0.0003445532998373165,null,null
ladies_accessories_bags,390,0.0003117767678342307,null,null
ladies_accessories_hatsscarvesgloves_scarves,382,0.0003053813469555798,null,null
ladies_accessories_hatsscarvesgloves_hats,307,0.00024542427621822776,null,null
ladies_bags_shopperstotes,287,0.00022943572402160054,null,null
ladies_jeans_highwaisted,243,0.00019426090918902067,1223,0.0005376280273447373
ladies_accessories_jewellery_necklaces,219,0.000175074646553068,null,null
ladies_sockstights_shape,195,0.00015588838391711535,null,null
ladies_bags_shouldercross,146,0.00011671643103537867,null,null
ladies_accessories_jewellery_earrings,141,0.00011271929298622186,null,null
ladies_plus_dresses,108,0.00008633818186178695,null,null
ladies_jacketscoats_vests,108,0.00008633818186178695,null,null
ladies_jeans_skinny_skinnylow,100,0.00007994276098313607,null,null
ladies_tops_offshouldertops,100,0.00007994276098313607,null,null
ladies_nightwear_slippers,97,0.000077544478153642,null,null
ladies_bags_smallclutch,93,0.00007434676771431655,null,null
ladies_cardigansjumpers_turtlenecks,88,0.00007034962966515975,null,null
ladies_sportswear_yoga,31,0.000024782255904772183,null,null
ladies_accessories_hairaccessories,27,0.00002158454546544674,null,null
ladies_plus_swimwear,17,0.000013590269367133132,null,null
ladies_trousers_culottes,16,0.000012790841757301772,20,0.000008791954658131438
ladies_accessories_jewellery_rings,16,0.000012790841757301772,null,null
ladies_maternity_jacketsblazers,15,0.000011991414147470411,null,null
ladies_divided_jacketsblazers,8,0.000006395420878650886,null,null
